"salon","grupo","lugar","semana","fecha","alimento","precio","unidades","observaciones"
"3","7","surtimax cll58","1","Feb-07","cebolla","850","lb","bajo"
"3","7","surtimax cll58","1","Feb-07","coliflor","1200","lb","subio"
"3","7","surtimax cll58","1","Feb-07","papa","1250","lb","subio"
"3","7","surtimax cll58","1","Feb-07","tomate","1800","lb","barato"
"3","7","surtimax cll58","1","Feb-07","zanahoria","1490","lb","barata"
"3","7","surtimax cll58","1","Feb-07","fresa","","lb",""
"3","7","surtimax cll58","1","Feb-07","granadilla","3990","lb","barata"
"3","7","surtimax cll58","1","Feb-07","lulo ","2190","lb","barato"
"3","7","surtimax cll58","1","Feb-07","manzana","","lb",""
"3","7","surtimax cll58","1","Feb-07","maracuya","2400","lb","barato"
"3","7","olimpica","2","Feb-13","cebolla","1300","lb","caro"
"3","7","olimpica","2","Feb-13","coliflor","3750","lb","se mantiene"
"3","7","olimpica","2","Feb-13","papa","1600","lb","barata"
"3","7","olimpica","2","Feb-13","tomate","2300","lb",""
"3","7","olimpica","2","Feb-13","zanahoria","1100","lb","barata"
"3","7","olimpica","2","Feb-13","fresa","7200","lb","caro"
"3","7","olimpica","2","Feb-13","granadilla","6600","lb","caro"
"3","7","olimpica","2","Feb-13","lulo ","2800","lb","caro"
"3","7","olimpica","2","Feb-13","manzana","3900","lb","barata"
"3","7","olimpica","2","Feb-13","maracuya","4450","lb","caro"
"3","7","surtimax cll58","3","Feb-17","cebolla","1090","lb","barata"
"3","7","surtimax cll58","3","Feb-17","coliflor","1100","lb","caro"
"3","7","surtimax cll58","3","Feb-17","papa","1090","lb","barata"
"3","7","surtimax cll58","3","Feb-17","tomate","2290","lb","barata"
"3","7","surtimax cll58","3","Feb-17","zanahoria","1400","lb","barata"
"3","7","surtimax cll58","3","Feb-17","fresa","6600","lb","se mantiene"
"3","7","surtimax cll58","3","Feb-17","granadilla","5990","lb","cara"
"3","7","surtimax cll58","3","Feb-17","lulo ","2590","lb","se mantiene"
"3","7","surtimax cll58","3","Feb-17","manzana","","lb","no hay producto"
"3","7","surtimax cll58","3","Feb-17","maracuya","4250","lb","caro"
"3","7","olimpica","4","Feb-25","cebolla","1300","lb","barato"
"3","7","olimpica","4","Feb-25","coliflor","3750","lb","se mantiene"
"3","7","olimpica","4","Feb-25","papa","3200","lb","subio"
"3","7","olimpica","4","Feb-25","tomate","2300","lb","subio"
"3","7","olimpica","4","Feb-25","zanahoria","1000","lb","escazes"
"3","7","olimpica","4","Feb-25","fresa","4550","lb","escazes"
"3","7","olimpica","4","Feb-25","granadilla","6600","lb","escaza y cara"
"3","7","olimpica","4","Feb-25","lulo ","2800","lb","caro"
"3","7","olimpica","4","Feb-25","manzana","5250","lb","caro"
"3","7","olimpica","4","Feb-25","maracuya","4450","lb","subio"
